order_id,operational_date,shift,picking_time_seconds,packing_accuracy_status
ORD-000083,29-05-2026,A,105.52,1
ORD-000084,28-05-2026,A,88.88,1
ORD-000085,23-05-2026,A,125.15,1
ORD-000086,09-05-2026,A,128.97,1
ORD-000087,08-05-2026,A,112.45,1
ORD-000088,17-05-2026,A,138.91,1
ORD-000089,25-05-2026,A,113.45,1
ORD-000090,15-05-2026,A,112.1,1
ORD-000091,10-05-2026,A,108.3,1
ORD-000092,02-05-2026,A,113.58,1
ORD-000093,28-05-2026,A,140.96,1
ORD-000094,18-05-2026,A,107.37,1
ORD-000095,12-05-2026,A,125.78,1
ORD-000096,11-05-2026,A,113.09,1
ORD-000097,24-05-2026,A,116.33,1
ORD-000098,09-05-2026,A,105.52,1
ORD-000099,04-05-2026,A,135.83,1
ORD-000100,29-05-2026,A,122.68,1
ORD-000101,25-05-2026,A,108.67,1
ORD-000102,30-05-2026,A,157.55,1
ORD-000103,15-05-2026,A,108.16,1
ORD-000104,30-05-2026,A,154.4,1
ORD-000105,11-05-2026,A,107.94,1
ORD-000106,06-05-2026,A,131.87,1
ORD-000107,25-05-2026,A,126.61,1
ORD-000108,13-05-2026,A,124.25,1
ORD-000109,12-05-2026,A,135.27,1
ORD-000110,28-05-2026,A,125.55,1
ORD-000111,06-05-2026,A,110.54,1
ORD-000112,13-05-2026,A,158.54,1
ORD-000113,30-05-2026,A,129.51,1
ORD-000114,19-05-2026,A,112.48,1
ORD-000115,29-05-2026,A,125.85,1
ORD-000116,30-05-2026,A,126.43,1
ORD-000117,09-05-2026,A,125.62,1
ORD-000118,10-05-2026,A,112.51,1
ORD-000119,10-05-2026,A,130.03,1
ORD-000120,17-05-2026,A,114.32,1
ORD-000121,29-05-2026,A,123.56,1
ORD-000122,18-05-2026,A,132.14,1
ORD-000123,16-05-2026,A,135.3,1
ORD-000124,30-05-2026,A,104.87,1
ORD-000125,07-05-2026,A,135.46,1
ORD-000126,03-05-2026,A,88.4,1
ORD-000127,20-05-2026,A,93.97,1
ORD-000128,19-05-2026,A,122.18,1
ORD-000129,23-05-2026,A,148.18,1
ORD-000130,03-05-2026,A,82.3,1
ORD-000131,06-05-2026,A,119.32,1
ORD-000132,29-05-2026,A,120.63,1
ORD-000133,30-05-2026,A,82.31,1
ORD-000134,21-05-2026,A,121.83,1
ORD-000135,18-05-2026,A,104.53,1
ORD-000136,09-05-2026,A,110.65,1
ORD-000137,09-05-2026,A,136.89,0
ORD-000138,22-05-2026,A,133.12,1
ORD-000139,16-05-2026,A,122.82,1
ORD-000140,24-05-2026,A,147.54,1
ORD-000141,27-05-2026,A,95.1,1
ORD-000142,06-05-2026,A,111.06,1
ORD-000143,15-05-2026,A,104.09,1
ORD-000144,09-05-2026,A,124.34,1
ORD-000145,21-05-2026,A,144.6,1
ORD-000146,07-05-2026,A,126.41,1
ORD-000147,26-05-2026,A,123.61,1
ORD-000148,21-05-2026,A,100.07,1
ORD-000149,18-05-2026,A,104.95,1
ORD-000150,04-05-2026,A,139.74,1
ORD-000151,26-05-2026,A,107.02,1
ORD-000152,22-05-2026,A,105.44,1
ORD-000153,13-05-2026,A,130.59,1
ORD-000154,09-05-2026,A,120.68,1
ORD-000155,02-05-2026,A,113.75,1
ORD-000156,24-05-2026,A,102.77,1
ORD-000157,18-05-2026,A,134.63,1
ORD-000158,13-05-2026,A,140.38,1
ORD-000159,13-05-2026,A,92.75,1
ORD-000160,14-05-2026,A,92.32,1
ORD-000161,22-05-2026,A,139.18,1
ORD-000162,03-05-2026,A,135.75,1
ORD-000163,20-05-2026,A,106.41,1
ORD-000164,08-05-2026,A,138.09,1
ORD-000165,06-05-2026,A,122.47,1
ORD-000166,10-05-2026,A,109.52,1
ORD-000167,28-05-2026,A,130.18,1
ORD-000168,03-05-2026,A,119.3,1
ORD-000169,10-05-2026,A,98.44,1
ORD-000170,10-05-2026,A,109.71,1
ORD-000171,29-05-2026,A,124.47,1
ORD-000172,21-05-2026,A,112.74,1
ORD-000173,26-05-2026,A,131.6,1
ORD-000174,15-05-2026,A,139.35,1
ORD-000175,16-05-2026,A,97.22,1
ORD-000176,27-05-2026,A,118.15,0
ORD-000177,05-05-2026,A,127.79,0
ORD-000178,28-05-2026,A,112.38,1
ORD-000179,15-05-2026,A,108.56,1
ORD-000180,15-05-2026,A,108.12,1
ORD-000181,29-05-2026,A,135.79,1
ORD-000182,01-05-2026,A,116.94,1
ORD-000183,12-05-2026,A,114.15,1
ORD-000184,28-05-2026,A,113.7,1
ORD-000185,07-05-2026,A,116.71,1
ORD-000186,07-05-2026,A,133.46,1
ORD-000187,06-05-2026,A,135.41,1
ORD-000188,14-05-2026,A,118.01,1
ORD-000189,13-05-2026,A,137.67,1
ORD-000190,10-05-2026,A,108.79,1
ORD-000191,22-05-2026,A,115.73,1
ORD-000192,16-05-2026,A,133.83,1
ORD-000193,21-05-2026,A,123.13,1
ORD-000194,02-05-2026,A,143.7,1
ORD-000195,03-05-2026,A,87.49,1
ORD-000196,19-05-2026,A,93.09,1
ORD-000197,30-05-2026,A,138.96,1
ORD-000198,27-05-2026,A,119.36,1
ORD-000199,14-05-2026,A,133.37,1
ORD-000200,27-05-2026,A,135.74,1
ORD-000201,18-05-2026,A,122.05,1
ORD-000202,14-05-2026,A,114.76,1
ORD-000203,04-05-2026,A,134.91,1
ORD-000204,03-05-2026,A,117.44,1
ORD-000205,07-05-2026,A,121.66,1
ORD-000206,01-05-2026,A,117.59,1
ORD-000207,23-05-2026,A,116.01,1
ORD-000208,30-05-2026,A,114.76,1
ORD-000209,27-05-2026,A,149.09,1
ORD-000210,17-05-2026,A,124.33,1
ORD-000211,01-05-2026,A,138.94,1
ORD-000212,22-05-2026,A,121.88,1
ORD-000213,07-05-2026,A,112.36,1
ORD-000214,25-05-2026,A,109.54,1
ORD-000215,01-05-2026,A,109.27,1
ORD-000216,10-05-2026,A,140.8,1
ORD-000217,05-05-2026,A,119.67,1
ORD-000218,04-05-2026,A,131.34,1
ORD-000219,24-05-2026,A,89.53,1
ORD-000220,10-05-2026,A,106.47,1
ORD-000221,14-05-2026,A,111.3,1
ORD-000222,09-05-2026,A,117.05,1
ORD-000223,02-05-2026,A,134.54,1
ORD-000224,12-05-2026,A,128.96,1
ORD-000225,12-05-2026,A,123.2,1
ORD-000226,01-05-2026,A,110.29,1
ORD-000227,20-05-2026,A,118.24,1
ORD-000228,08-05-2026,A,96.15,0
ORD-000229,01-05-2026,A,102.29,1
ORD-000230,02-05-2026,A,106.91,1
ORD-000231,16-05-2026,A,129.41,1
ORD-000232,14-05-2026,A,123.98,1
ORD-000233,11-05-2026,A,108.13,1
ORD-000234,24-05-2026,A,139.47,1
ORD-000235,23-05-2026,A,122.12,1
ORD-000236,17-05-2026,A,85.53,1
ORD-000237,16-05-2026,A,97.54,1
ORD-000238,27-05-2026,A,127.21,1
ORD-000239,04-05-2026,A,115.53,1
ORD-000240,19-05-2026,A,114.36,1
ORD-000241,11-05-2026,A,116.01,1
ORD-000242,17-05-2026,A,116.9,1
ORD-000243,11-05-2026,A,104.43,1
ORD-000244,24-05-2026,A,115.35,1
ORD-000245,28-05-2026,A,126.04,1
ORD-000246,10-05-2026,A,122.78,1
ORD-000247,17-05-2026,A,93.96,1
ORD-000248,15-05-2026,A,99.97,1
ORD-000249,06-05-2026,A,125.88,1
ORD-000250,18-05-2026,A,100.7,1
ORD-000251,05-05-2026,A,138.86,1
ORD-000252,15-05-2026,A,129.06,1
ORD-000253,07-05-2026,A,117.02,1
ORD-000254,08-05-2026,A,123.29,1
ORD-000255,22-05-2026,A,126.87,1
ORD-000256,25-05-2026,A,127.1,1
ORD-000257,09-05-2026,A,83.3,1
ORD-000258,09-05-2026,A,125.32,1
ORD-000259,13-05-2026,A,126.34,1
ORD-000260,30-05-2026,A,124.72,1
ORD-000261,22-05-2026,A,129.07,1
ORD-000262,16-05-2026,A,99.17,1
ORD-000263,26-05-2026,A,113.77,1
ORD-000264,12-05-2026,A,135.83,1
ORD-000265,12-05-2026,A,127.66,1
ORD-000266,14-05-2026,A,143.76,1
ORD-000267,15-05-2026,A,111.25,1
ORD-000268,04-05-2026,A,123.29,1
ORD-000269,01-05-2026,A,113.31,1
ORD-000270,16-05-2026,A,120.92,1
ORD-000271,17-05-2026,A,132.26,1
ORD-000272,24-05-2026,A,139.74,1
ORD-000273,27-05-2026,A,146.77,1
ORD-000274,04-05-2026,A,96.48,1
ORD-000275,09-05-2026,A,113.63,1
ORD-000276,26-05-2026,A,135.83,1
ORD-000277,29-05-2026,A,137.13,1
ORD-000278,06-05-2026,A,134.33,1
ORD-000279,22-05-2026,A,109.48,1
ORD-000280,28-05-2026,A,137.63,1
ORD-000281,19-05-2026,A,99.02,1
ORD-000282,04-05-2026,A,153.21,1
ORD-000283,15-05-2026,A,127.31,1
ORD-000284,30-05-2026,A,136.88,1
ORD-000285,13-05-2026,A,119.51,1
ORD-000286,03-05-2026,A,115.29,1
ORD-000287,01-05-2026,A,132.28,1
ORD-000288,20-05-2026,A,115.74,1
ORD-000289,03-05-2026,A,149.34,1
ORD-000290,02-05-2026,A,133.94,1
ORD-000291,24-05-2026,A,101.34,1
ORD-000292,08-05-2026,A,123.4,1
ORD-000293,19-05-2026,A,127.79,1
ORD-000294,05-05-2026,A,136.36,1
ORD-000295,16-05-2026,A,102.36,1
ORD-000296,03-05-2026,A,128.81,1
ORD-000297,04-05-2026,A,144.15,1
ORD-000298,27-05-2026,A,119.92,1
ORD-000299,22-05-2026,A,122.01,1
ORD-000300,17-05-2026,A,123.25,1
ORD-000301,19-05-2026,A,109.19,1
ORD-000302,28-05-2026,A,133.02,1
ORD-000303,25-05-2026,A,129.89,1
ORD-000304,23-05-2026,A,132.09,1
ORD-000305,03-05-2026,A,117.82,1
ORD-000306,05-05-2026,A,143.05,1
ORD-000307,23-05-2026,A,101.26,1
ORD-000308,14-05-2026,A,119.11,1
ORD-000309,29-05-2026,A,113.67,1
ORD-000310,27-05-2026,A,136.5,1
ORD-000311,16-05-2026,A,135.08,1
ORD-000312,23-05-2026,A,150.36,1
ORD-000313,30-05-2026,A,131.13,1
ORD-000314,18-05-2026,A,121.13,1
ORD-000315,17-05-2026,A,118.74,1
ORD-000316,15-05-2026,A,101.16,1
ORD-000317,02-05-2026,A,132.85,1
ORD-000318,11-05-2026,A,99.33,1
ORD-000319,01-05-2026,A,135.01,1
ORD-000320,25-05-2026,A,131.37,1
ORD-000321,30-05-2026,A,118.46,1
ORD-000322,26-05-2026,A,125.04,1
ORD-000323,19-05-2026,A,149.37,1
ORD-000324,03-05-2026,A,126.94,1
ORD-000325,10-05-2026,A,117.49,1
ORD-000326,29-05-2026,A,121.02,1
ORD-000327,12-05-2026,A,128.6,1
ORD-000328,14-05-2026,A,131.5,1
ORD-000329,03-05-2026,A,147.33,1
ORD-000330,19-05-2026,A,157.71,1
ORD-000331,17-05-2026,A,133.72,1
ORD-000332,25-05-2026,A,135.71,1
ORD-000333,06-05-2026,A,119.97,1
ORD-000334,04-05-2026,A,163.62,1
ORD-000335,10-05-2026,A,111.6,1
ORD-000336,23-05-2026,A,127.89,1
ORD-000337,23-05-2026,A,132.04,1
ORD-000338,26-05-2026,A,122.05,1
ORD-000339,22-05-2026,A,133.86,1
ORD-000340,30-05-2026,A,136.66,1
ORD-000341,01-05-2026,A,106.57,1
ORD-000342,17-05-2026,A,107.96,1
ORD-000343,08-05-2026,A,159.22,1
ORD-000344,14-05-2026,A,133.15,1
ORD-000345,27-05-2026,A,114.12,1
ORD-000346,04-05-2026,A,119.42,1
ORD-000347,03-05-2026,A,78.71,1
ORD-000348,15-05-2026,A,156.72,1
ORD-000349,30-05-2026,A,118.84,0
ORD-000350,18-05-2026,A,112.15,1
ORD-000351,06-05-2026,A,150.24,1
ORD-000352,17-05-2026,A,147,1
ORD-000353,23-05-2026,A,113.8,1
ORD-000354,29-05-2026,A,128.05,1
ORD-000355,09-05-2026,A,122.27,1
ORD-000356,11-05-2026,A,104.39,1
ORD-000357,16-05-2026,A,100.25,1
ORD-000358,14-05-2026,A,124.3,1
ORD-000359,08-05-2026,A,108.19,1
ORD-000360,30-05-2026,A,101.34,1
ORD-000361,02-05-2026,A,116.14,1
ORD-000362,13-05-2026,A,106.33,1
ORD-000363,10-05-2026,A,126.02,1
ORD-000364,22-05-2026,A,124.16,1
ORD-000365,08-05-2026,A,131.2,1
ORD-000366,28-05-2026,A,101.83,1
ORD-000367,09-05-2026,A,128.72,1
ORD-000368,12-05-2026,A,111.18,1
ORD-000369,14-05-2026,A,114.34,1
ORD-000370,24-05-2026,A,123.32,1
ORD-000371,01-05-2026,A,130.08,1
ORD-000372,23-05-2026,A,107.29,1
ORD-000373,07-05-2026,A,135.04,1
ORD-000374,25-05-2026,A,145.17,1
ORD-000375,13-05-2026,A,130.84,1
ORD-000376,03-05-2026,A,114.53,1
ORD-000377,14-05-2026,A,114.08,1
ORD-000378,19-05-2026,A,117.99,1
ORD-000379,09-05-2026,A,112.78,1
ORD-000380,13-05-2026,A,100.72,1
ORD-000381,17-05-2026,A,112.92,1
ORD-000382,12-05-2026,A,108.7,1
ORD-000383,24-05-2026,A,102.11,1
ORD-000384,05-05-2026,A,100.69,1
ORD-000385,03-05-2026,A,104.82,1
ORD-000386,12-05-2026,A,95.1,1
ORD-000387,27-05-2026,A,131.67,1
ORD-000388,01-05-2026,A,129.93,1
ORD-000389,16-05-2026,A,119.84,1
ORD-000390,07-05-2026,A,133.98,1
ORD-000391,25-05-2026,A,126.63,1
ORD-000392,20-05-2026,A,101.3,1
ORD-000393,23-05-2026,A,107.56,1
ORD-000394,15-05-2026,A,102.88,1
ORD-000395,27-05-2026,A,122.8,1
ORD-000396,22-05-2026,A,117.09,1
ORD-000397,08-05-2026,A,112.93,1
ORD-000398,18-05-2026,A,118.94,1
ORD-000399,11-05-2026,A,113.82,1
ORD-000400,15-05-2026,A,134.74,1
ORD-000401,17-05-2026,A,139.14,1
ORD-000402,10-05-2026,A,97.32,1
ORD-000403,03-05-2026,A,125.02,1
ORD-000404,08-05-2026,A,114.08,1
ORD-000405,10-05-2026,A,103.81,1
ORD-000406,17-05-2026,A,131.28,1
ORD-000407,03-05-2026,A,102.84,1
ORD-000408,12-05-2026,A,162.47,1
ORD-000409,10-05-2026,A,124.8,1
ORD-000410,18-05-2026,A,122.33,1
ORD-000411,03-05-2026,A,107.63,1
ORD-000412,18-05-2026,A,93.3,1
ORD-000413,14-05-2026,A,108.4,1
ORD-000414,11-05-2026,A,124.26,1
ORD-000415,07-05-2026,A,136.71,1
ORD-000416,14-05-2026,A,117.98,1
ORD-000417,09-05-2026,A,118.24,1
ORD-000418,04-05-2026,A,135.24,1
ORD-000419,07-05-2026,A,125.43,1
ORD-000420,07-05-2026,A,133.39,1
ORD-000421,16-05-2026,A,99.37,1
ORD-000422,21-05-2026,A,117.54,1
ORD-000423,11-05-2026,A,128.57,1
ORD-000424,20-05-2026,A,117.87,1
ORD-000425,14-05-2026,A,138.89,1
ORD-000426,10-05-2026,A,106.01,1
ORD-000427,10-05-2026,A,105.37,1
ORD-000428,22-05-2026,A,115.61,1
ORD-000429,18-05-2026,A,111.25,1
ORD-000430,27-05-2026,A,114.65,1
ORD-000431,12-05-2026,A,102.09,1
ORD-000432,13-05-2026,A,132.3,1
ORD-000433,04-05-2026,A,103.28,1
ORD-000434,30-05-2026,A,127.34,1
ORD-000435,21-05-2026,A,101.22,1
ORD-000436,17-05-2026,A,122.12,1
ORD-000437,25-05-2026,A,111.98,1
ORD-000438,03-05-2026,A,95.27,1
ORD-000439,08-05-2026,A,117.57,1
ORD-000440,09-05-2026,A,100.86,1
ORD-000441,29-05-2026,A,134.96,1
ORD-000442,03-05-2026,A,107.48,1
ORD-000443,20-05-2026,A,123.61,1
ORD-000444,08-05-2026,A,130.91,1
ORD-000445,25-05-2026,A,115.06,1
ORD-000446,30-05-2026,A,132.08,1
ORD-000447,10-05-2026,A,121.93,1
ORD-000448,13-05-2026,A,136.5,1
ORD-000449,18-05-2026,A,122.44,1
ORD-000450,26-05-2026,A,140.18,1
ORD-000451,21-05-2026,A,125.42,1
ORD-000452,10-05-2026,A,110.02,1
ORD-000453,22-05-2026,A,114.17,1
ORD-000454,17-05-2026,A,130.86,1
ORD-000455,01-05-2026,A,113.89,1
ORD-000456,28-05-2026,A,97.65,1
ORD-000457,24-05-2026,A,128.74,1
ORD-000458,12-05-2026,A,99.94,1
ORD-000459,15-05-2026,A,105.16,1
ORD-000460,26-05-2026,A,109.97,1
ORD-000461,29-05-2026,A,105.57,1
ORD-000462,11-05-2026,A,125.56,0
ORD-000463,04-05-2026,A,116.94,1
ORD-000464,21-05-2026,A,115.81,1
ORD-000465,29-05-2026,A,138.36,1
ORD-000466,29-05-2026,A,112.33,1
ORD-000467,15-05-2026,A,114.23,1
ORD-000468,25-05-2026,A,116.56,1
ORD-000469,29-05-2026,A,126.3,1
ORD-000470,21-05-2026,A,117.49,1
ORD-000471,26-05-2026,A,101.95,1
ORD-000472,23-05-2026,A,103.34,1
ORD-000473,01-05-2026,A,133.65,1
ORD-000474,16-05-2026,A,108.48,1
ORD-000475,26-05-2026,A,139.87,1
ORD-000476,11-05-2026,A,119.23,1
ORD-000477,03-05-2026,A,134.25,1
ORD-000478,27-05-2026,A,94.38,1
ORD-000479,02-05-2026,A,104.52,1
ORD-000480,06-05-2026,A,124.85,0
ORD-000481,06-05-2026,A,124.15,1
ORD-000482,01-05-2026,A,102.39,1
ORD-000483,25-05-2026,A,97.83,1
ORD-000484,16-05-2026,A,114.39,1
ORD-000485,26-05-2026,A,120.45,1
ORD-000486,12-05-2026,A,126.12,1
ORD-000487,08-05-2026,A,126.06,1
ORD-000488,27-05-2026,A,126.98,1
ORD-000489,06-05-2026,A,106.36,1
ORD-000490,21-05-2026,A,130.93,1
ORD-000491,30-05-2026,A,116.29,1
ORD-000492,17-05-2026,A,128.66,1
ORD-000493,15-05-2026,A,128.31,1
ORD-000494,09-05-2026,A,113.56,1
ORD-000495,26-05-2026,A,107.87,1
ORD-000496,13-05-2026,A,115.99,1
ORD-000497,30-05-2026,A,114.54,1
ORD-000498,25-05-2026,A,100.74,1
ORD-000499,12-05-2026,A,120.83,1
ORD-000500,07-05-2026,A,116.55,1
ORD-000501,06-05-2026,A,122.23,1
ORD-000502,20-05-2026,A,117.88,1
ORD-000503,17-05-2026,A,108.63,1
ORD-000504,28-05-2026,A,119.11,1
ORD-000505,23-05-2026,A,114.44,1
ORD-000506,03-05-2026,A,103.59,1
ORD-000507,11-05-2026,A,109.87,1
ORD-000508,15-05-2026,A,144.19,1
ORD-000509,02-05-2026,A,141.46,1
ORD-000510,20-05-2026,A,113.87,1
ORD-000511,04-05-2026,A,141.28,0
ORD-000512,02-05-2026,A,139.38,1
ORD-000513,02-05-2026,A,116.2,1
ORD-000514,08-05-2026,A,125.7,1
ORD-000515,01-05-2026,A,134.77,1
ORD-000516,18-05-2026,A,111.92,0
ORD-000517,20-05-2026,A,147.3,1
ORD-000518,20-05-2026,A,129.31,1
ORD-000519,12-05-2026,A,106,1
ORD-000520,09-05-2026,A,136.01,1
ORD-000521,17-05-2026,A,111.14,1
ORD-000522,03-05-2026,A,118.75,1
ORD-000523,20-05-2026,A,129.39,0
ORD-000524,08-05-2026,A,145.61,1
ORD-000525,13-05-2026,A,138.27,1
ORD-000526,14-05-2026,A,141.14,1
ORD-000527,19-05-2026,A,122.46,1
ORD-000528,25-05-2026,A,134.74,1
ORD-000529,18-05-2026,A,109.39,1
ORD-000530,19-05-2026,A,136.05,1
ORD-000531,05-05-2026,A,109.92,1
ORD-000532,30-05-2026,A,112.42,1
ORD-000533,24-05-2026,A,127.38,1
ORD-000534,20-05-2026,A,130.13,1
ORD-000535,29-05-2026,A,129.95,1
ORD-000536,27-05-2026,A,123.27,1
ORD-000537,05-05-2026,A,95.63,1
ORD-000538,03-05-2026,A,103.75,1
ORD-000539,01-05-2026,A,138.66,1
ORD-000540,21-05-2026,A,131.78,1
ORD-000541,30-05-2026,A,104.61,1
ORD-000542,24-05-2026,A,146.46,1
ORD-000543,17-05-2026,A,133.53,1
ORD-000544,21-05-2026,A,158.94,1
ORD-000545,23-05-2026,A,126.84,1
ORD-000546,12-05-2026,A,120.72,1
ORD-000547,21-05-2026,A,147.44,1
ORD-000548,10-05-2026,A,107.9,1
ORD-000549,20-05-2026,A,131.86,1
ORD-000550,20-05-2026,A,104.16,1
ORD-000551,07-05-2026,A,124.39,1
ORD-000552,21-05-2026,A,160.82,1
ORD-000553,09-05-2026,A,123.87,1
ORD-000554,08-05-2026,A,121.24,1
ORD-000555,23-05-2026,A,110.04,0
ORD-000556,05-05-2026,A,117.6,1
ORD-000557,09-05-2026,A,137.89,1
ORD-000558,11-05-2026,A,129.37,1
ORD-000559,18-05-2026,A,99.31,1
ORD-000560,12-05-2026,A,120.12,1
ORD-000561,29-05-2026,A,111.57,1
ORD-000562,12-05-2026,A,130.02,1
ORD-000563,28-05-2026,A,129.12,1
ORD-000564,21-05-2026,A,119,1
ORD-000565,06-05-2026,A,104.06,1
ORD-000566,29-05-2026,A,126.02,1
ORD-000567,07-05-2026,A,91.89,1
ORD-000568,27-05-2026,A,99.26,0
ORD-000569,07-05-2026,A,128.35,1
ORD-000570,14-05-2026,A,99.51,1
ORD-000571,15-05-2026,A,138.14,1
ORD-000572,04-05-2026,A,143.93,1
ORD-000573,20-05-2026,A,96.93,1
ORD-000574,07-05-2026,A,113.6,1
ORD-000575,23-05-2026,A,112.08,1
ORD-000576,09-05-2026,A,131.16,1
ORD-000577,24-05-2026,A,116.95,1
ORD-000578,04-05-2026,A,129.05,1
ORD-000579,07-05-2026,A,138.57,1
ORD-000580,08-05-2026,A,119.93,1
ORD-000581,21-05-2026,A,109.8,1
ORD-000582,23-05-2026,A,116.78,1
ORD-000583,05-05-2026,A,102.68,1
ORD-000584,07-05-2026,A,119.11,1
ORD-000585,01-05-2026,A,113.33,1
ORD-000586,03-05-2026,A,100.94,1
ORD-000587,17-05-2026,A,122.96,1
ORD-000588,08-05-2026,A,117.33,1
ORD-000589,25-05-2026,A,117.47,1
ORD-000590,02-05-2026,A,136.66,1
ORD-000591,26-05-2026,A,119.27,1
ORD-000592,09-05-2026,A,139.85,1
ORD-000593,02-05-2026,A,140.02,1
ORD-000594,05-05-2026,A,123.68,1
ORD-000595,15-05-2026,A,118.02,1
ORD-000596,08-05-2026,A,121.69,1
ORD-000597,22-05-2026,A,138.12,1
ORD-000598,29-05-2026,A,158.47,1
ORD-000599,05-05-2026,A,139.69,1
ORD-000600,22-05-2026,A,112.94,1
ORD-000601,05-05-2026,A,127.86,0
ORD-000602,01-05-2026,A,103.65,1
ORD-000603,20-05-2026,A,154.72,1
ORD-000604,09-05-2026,A,140.65,1
ORD-000605,24-05-2026,A,130.99,1
ORD-000606,13-05-2026,A,99.89,1
ORD-000607,30-05-2026,A,128.22,1
ORD-000608,10-05-2026,A,104.75,1
ORD-000609,04-05-2026,A,136.2,1
ORD-000610,11-05-2026,A,116.68,1
ORD-000611,04-05-2026,A,145.58,1
ORD-000612,10-05-2026,A,127.76,1
ORD-000613,10-05-2026,A,100.56,1
ORD-000614,23-05-2026,A,104.78,1
ORD-000615,16-05-2026,A,130.3,1
ORD-000616,30-05-2026,A,128.08,1
ORD-000617,22-05-2026,A,119.23,1
ORD-000618,14-05-2026,A,116.57,1
ORD-000619,08-05-2026,A,102.41,1
ORD-000620,02-05-2026,A,158.52,1
ORD-000621,23-05-2026,A,101.93,1
ORD-000622,12-05-2026,A,111.35,1
ORD-000623,16-05-2026,A,132.8,1
ORD-000624,30-05-2026,A,135.2,1
ORD-000625,21-05-2026,A,113.02,1
ORD-000626,10-05-2026,A,113.09,1
ORD-000627,09-05-2026,A,124.51,1
ORD-000628,05-05-2026,A,112.23,1
ORD-000629,30-05-2026,A,109.23,1
ORD-000630,25-05-2026,A,112.89,1
ORD-000631,27-05-2026,A,133.08,1
ORD-000632,09-05-2026,A,107.49,1
ORD-000633,22-05-2026,A,141.45,1
