order_id,operational_date,shift,picking_time_seconds
ORD-009940,2026-05-21,A,121.39
ORD-035715,2026-05-06,B,95.77
ORD-015073,2026-05-14,A,148.66
ORD-009997,2026-05-21,A,117.02
ORD-005353,2026-05-12,A,102.35
ORD-026656,2026-05-12,B,87.38
ORD-005120,2026-05-09,A,107.33
ORD-036784,2026-05-30,B,100.82
ORD-000363,2026-05-10,A,126.02
ORD-038368,2026-05-18,B,92.15
ORD-004809,2026-05-12,A,127.66
ORD-013697,2026-05-17,A,116.88
ORD-038831,2026-05-09,B,98.96
ORD-033044,2026-05-20,B,105.88
ORD-034301,2026-05-25,B,114.67
ORD-025449,2026-05-07,B,92.52
ORD-037726,2026-05-19,B,128.31
ORD-032170,2026-05-20,B,90.87
ORD-028073,2026-05-18,B,82.27
ORD-042450,2026-05-03,B,127.59
ORD-015823,2026-05-16,A,120.31
ORD-017789,2026-05-28,A,108.5
ORD-031302,2026-05-30,B,115.63
ORD-034861,2026-05-18,B,84.96
ORD-001631,2026-05-02,A,135.72
ORD-039948,2026-05-22,B,90.77
ORD-016867,2026-05-17,A,156.81
ORD-040585,2026-05-22,B,101.84
ORD-008149,2026-05-13,A,118.69
ORD-028397,2026-05-03,B,42.46
ORD-039891,2026-05-10,B,121.57
ORD-022153,2026-05-17,A,126.05
ORD-027393,2026-05-30,B,134.35
ORD-009962,2026-05-14,A,114.17
ORD-031159,2026-05-07,B,120.47
ORD-034195,2026-05-21,B,89.88
ORD-005830,2026-05-11,A,116.49
ORD-011542,2026-05-23,A,108.79
ORD-008181,2026-05-26,A,132.86
ORD-027964,2026-05-01,B,85.12
ORD-018981,2026-05-11,A,138.78
ORD-039766,2026-05-13,B,94.6
ORD-023357,2026-05-13,B,99.26
ORD-019845,2026-05-27,A,97.59
ORD-035521,2026-05-05,B,100.28
ORD-043091,2026-05-22,B,74.5
ORD-022594,2026-05-16,B,77.09
ORD-021443,2026-05-27,A,126.69
ORD-007959,2026-05-30,A,125.63
ORD-021683,2026-05-16,A,111.16
ORD-001892,2026-05-16,A,118.46
ORD-019871,2026-05-19,A,110.75
ORD-043158,2026-05-10,B,135.68
ORD-000284,2026-05-30,A,136.88
ORD-026424,2026-05-22,B,88.91
ORD-000126,2026-05-03,A,88.4
ORD-019764,2026-05-17,A,103.45
ORD-021781,2026-05-08,A,120.63
ORD-031880,2026-05-05,B,116.27
ORD-024703,2026-05-01,B,98.25
ORD-012306,2026-05-24,A,129.73
ORD-035648,2026-05-30,B,98.65
ORD-043189,2026-05-29,B,73.93
ORD-014738,2026-05-21,A,114.99
ORD-008168,2026-05-20,A,123.27
ORD-030461,2026-05-07,B,82.73
ORD-026505,2026-05-16,B,120.05
ORD-008061,2026-05-15,A,132.72
ORD-029419,2026-05-12,B,64.23
ORD-021696,2026-05-25,A,136.24
ORD-020806,2026-05-05,A,93.61
ORD-029786,2026-05-20,B,108.22
ORD-002380,2026-05-29,A,134.84
ORD-014348,2026-05-09,A,134.35
ORD-037828,2026-05-15,B,94.26
ORD-042379,2026-05-20,B,64.52
ORD-035997,2026-05-30,B,86.6
ORD-036107,2026-05-10,B,107.3
ORD-031131,2026-05-27,B,104.29
ORD-013029,2026-05-02,A,102.27
ORD-043894,2026-05-15,B,126.26
ORD-015989,2026-05-29,A,107.98
ORD-018041,2026-05-25,A,127.29
ORD-035212,2026-05-06,B,111.16
ORD-001477,2026-05-19,A,128.22
ORD-019869,2026-05-21,A,133.15
ORD-018174,2026-05-16,A,98.17
ORD-008307,2026-05-08,A,124.29
ORD-036020,2026-05-27,B,70.34
ORD-016776,2026-05-06,A,111.48
ORD-018871,2026-05-13,A,109.4
ORD-042408,2026-05-12,B,72.28
ORD-008292,2026-05-02,A,93.22
ORD-042719,2026-05-17,B,60.04
ORD-001714,2026-05-16,A,120.11
ORD-026069,2026-05-05,B,61.52
ORD-003881,2026-05-10,A,105.15
ORD-003186,2026-05-25,A,121.92
ORD-039230,2026-05-19,B,105.45
ORD-042927,2026-05-13,B,86.32
ORD-038452,2026-05-02,B,122.33
ORD-033520,2026-05-02,B,112.25
ORD-026541,2026-05-23,B,95.16
ORD-009115,2026-05-22,A,114.44
ORD-033083,2026-05-11,B,62.76
ORD-037220,2026-05-28,B,93.75
ORD-022348,2026-05-24,A,169.15
ORD-002646,2026-05-09,A,100.22
ORD-003178,2026-05-19,A,104.56
ORD-002716,2026-05-19,A,116.86
ORD-016053,2026-05-07,A,94.29
ORD-027053,2026-05-14,B,70.07
ORD-005355,2026-05-11,A,100.02
ORD-012104,2026-05-29,A,115.14
ORD-023625,2026-05-11,B,141.5
ORD-024666,2026-05-04,B,99.64
ORD-032420,2026-05-29,B,110.62
ORD-030542,2026-05-07,B,85.12
ORD-016980,2026-05-19,A,99.92
ORD-034820,2026-05-21,B,148.4
ORD-004093,2026-05-20,A,138.22
ORD-014643,2026-05-13,A,118.38
ORD-002766,2026-05-29,A,135.37
ORD-031897,2026-05-19,B,121.89
ORD-030079,2026-05-17,B,124.2
ORD-008804,2026-05-20,A,115.68
ORD-017600,2026-05-24,A,152.3
ORD-013731,2026-05-19,A,115.09
ORD-002266,2026-05-12,A,134.68
ORD-007765,2026-05-15,A,105.09
ORD-034592,2026-05-27,B,62.47
ORD-017866,2026-05-25,A,103.33
ORD-044744,2026-05-02,B,78.82
ORD-035015,2026-05-11,B,119.01
ORD-018663,2026-05-09,A,101.27
ORD-010430,2026-05-20,A,89.98
ORD-013235,2026-05-06,A,120.73
ORD-020252,2026-05-11,A,103.93
ORD-037498,2026-05-28,B,111.86
ORD-013378,2026-05-07,A,95.01
ORD-043481,2026-05-12,B,95.36
ORD-008511,2026-05-03,A,103.64
ORD-021096,2026-05-07,A,125.24
ORD-005704,2026-05-09,A,116.85
ORD-014912,2026-05-28,A,118.11
ORD-039735,2026-05-08,B,85.3
ORD-032884,2026-05-23,B,96.47
ORD-041627,2026-05-25,B,80.39
ORD-037797,2026-05-15,B,95.85
ORD-022997,2026-05-07,B,82.96
ORD-041757,2026-05-09,B,133.34
ORD-033769,2026-05-26,B,111.0
ORD-023089,2026-05-17,B,52.91
ORD-023407,2026-05-17,B,80.42
ORD-035685,2026-05-22,B,85.85
ORD-026279,2026-05-12,B,109.25
ORD-011050,2026-05-07,A,115.74
ORD-034281,2026-05-16,B,106.25
ORD-034936,2026-05-09,B,106.9
ORD-016944,2026-05-20,A,114.44
ORD-037754,2026-05-30,B,86.66
ORD-017581,2026-05-22,A,154.77
ORD-031680,2026-05-27,B,78.5
ORD-034574,2026-05-16,B,97.54
ORD-012429,2026-05-29,A,137.2
ORD-001474,2026-05-04,A,119.26
ORD-013679,2026-05-02,A,102.75
ORD-010453,2026-05-01,A,130.53
ORD-009666,2026-05-18,A,117.35
ORD-029256,2026-05-17,B,86.08
ORD-041917,2026-05-19,B,71.88
ORD-044335,2026-05-26,B,91.8
ORD-025208,2026-05-17,B,87.73
ORD-035167,2026-05-21,B,112.35
ORD-039177,2026-05-27,B,82.49
ORD-024379,2026-05-30,B,93.9
ORD-027707,2026-05-30,B,154.39
ORD-027180,2026-05-07,B,92.51
ORD-032732,2026-05-30,B,77.71
ORD-010049,2026-05-25,A,114.61
ORD-034539,2026-05-05,B,101.41
ORD-015335,2026-05-16,A,119.9
ORD-024951,2026-05-27,B,116.07
ORD-023852,2026-05-13,B,100.69
ORD-001011,2026-05-05,A,121.66
ORD-008497,2026-05-29,A,107.29
ORD-024591,2026-05-14,B,64.65
ORD-011472,2026-05-09,A,128.81
ORD-012776,2026-05-03,A,95.94
ORD-016421,2026-05-12,A,112.32
ORD-005245,2026-05-29,A,109.73
ORD-022887,2026-05-18,B,83.77
ORD-034488,2026-05-22,B,61.54
ORD-002346,2026-05-02,A,143.29
ORD-040731,2026-05-23,B,147.44
ORD-021072,2026-05-23,A,136.21
ORD-036918,2026-05-19,B,97.67
ORD-042942,2026-05-05,B,88.88
ORD-030744,2026-05-07,B,112.36
ORD-000347,2026-05-03,A,78.71
ORD-003851,2026-05-03,A,131.82
ORD-033742,2026-05-21,B,59.53
ORD-021356,2026-05-06,A,118.77
ORD-020791,2026-05-22,A,117.74
ORD-036840,2026-05-20,B,96.09
ORD-040768,2026-05-09,B,46.44
ORD-006841,2026-05-24,A,102.77
ORD-039586,2026-05-06,B,130.22
ORD-019889,2026-05-13,A,128.78
ORD-026077,2026-05-05,B,92.87
ORD-003900,2026-05-07,A,104.21
ORD-041147,2026-05-02,B,92.47
ORD-026195,2026-05-04,B,105.09
ORD-042522,2026-05-24,B,129.46
ORD-005545,2026-05-27,A,103.85
ORD-017181,2026-05-01,A,127.68
ORD-017482,2026-05-21,A,101.7
ORD-023346,2026-05-22,B,85.38
ORD-019429,2026-05-24,A,133.76
ORD-002796,2026-05-15,A,116.9
ORD-028741,2026-05-24,B,107.2
ORD-043416,2026-05-28,B,103.68
ORD-033035,2026-05-25,B,97.8
ORD-036541,2026-05-21,B,95.9
ORD-011252,2026-05-05,A,115.39
ORD-012469,2026-05-06,A,126.82
ORD-017236,2026-05-26,A,136.27
ORD-033216,2026-05-22,B,123.49
ORD-034140,2026-05-24,B,95.67
ORD-018451,2026-05-07,A,123.97
ORD-020474,2026-05-18,A,116.29
ORD-003196,2026-05-17,A,104.24
ORD-003103,2026-05-01,A,118.93
ORD-007696,2026-05-08,A,116.1
ORD-007538,2026-05-28,A,135.78
ORD-011605,2026-05-19,A,129.73
ORD-035873,2026-05-05,B,94.57
ORD-039541,2026-05-30,B,89.51
ORD-000810,2026-05-04,A,115.67
ORD-012210,2026-05-21,A,109.43
ORD-016762,2026-05-28,A,105.87
ORD-008045,2026-05-28,A,109.46
ORD-021045,2026-05-20,A,133.49
ORD-041073,2026-05-16,B,110.48
ORD-001900,2026-05-04,A,127.56
ORD-002163,2026-05-25,A,112.1
ORD-015318,2026-05-17,A,89.4
ORD-005013,2026-05-08,A,147.07
ORD-002409,2026-05-20,A,106.67
ORD-043889,2026-05-07,B,111.58
ORD-040213,2026-05-22,B,90.42
ORD-030485,2026-05-30,B,95.72
ORD-035896,2026-05-10,B,102.37
ORD-038532,2026-05-20,B,138.66
ORD-035026,2026-05-26,B,122.62
ORD-013420,2026-05-13,A,141.91
ORD-008860,2026-05-07,A,110.54
ORD-009939,2026-05-01,A,142.04
ORD-025648,2026-05-22,B,62.2
ORD-027275,2026-05-19,B,112.36
ORD-006191,2026-05-06,A,98.82
ORD-041470,2026-05-22,B,122.28
ORD-021609,2026-05-30,A,133.31
ORD-028906,2026-05-28,B,81.15
ORD-015252,2026-05-25,A,124.55
ORD-004852,2026-05-21,A,125.63
ORD-042692,2026-05-25,B,109.21
ORD-025118,2026-05-06,B,88.13
ORD-008007,2026-05-02,A,94.54
ORD-005547,2026-05-11,A,128.34
ORD-032171,2026-05-17,B,104.23
ORD-017215,2026-05-13,A,92.46
ORD-027776,2026-05-11,B,84.11
ORD-038746,2026-05-07,B,75.56
ORD-027988,2026-05-24,B,67.34
ORD-005372,2026-05-25,A,103.41
ORD-021217,2026-05-21,A,105.17
ORD-020439,2026-05-30,A,109.68
ORD-010183,2026-05-26,A,113.34
ORD-021505,2026-05-16,A,118.28
ORD-025249,2026-05-15,B,107.83
ORD-022006,2026-05-30,A,124.58
ORD-039010,2026-05-24,B,79.49
ORD-030348,2026-05-10,B,103.4
ORD-028770,2026-05-16,B,71.51
ORD-014083,2026-05-30,A,89.23
ORD-043360,2026-05-02,B,74.62
ORD-006802,2026-05-03,A,112.84
ORD-017923,2026-05-25,A,129.21
ORD-036217,2026-05-25,B,92.86
ORD-010325,2026-05-26,A,116.67
ORD-000338,2026-05-26,A,122.05
ORD-013646,2026-05-19,A,95.19
ORD-038500,2026-05-15,B,47.41
ORD-007838,2026-05-20,A,114.31
ORD-043532,2026-05-13,B,73.15
ORD-044477,2026-05-15,B,109.23
ORD-010290,2026-05-12,A,138.61
ORD-018532,2026-05-04,A,125.47
ORD-018211,2026-05-28,A,119.76
ORD-043949,2026-05-09,B,96.51
ORD-038179,2026-05-18,B,93.0
ORD-018318,2026-05-23,A,137.59
ORD-044699,2026-05-29,B,144.14
ORD-011691,2026-05-12,A,134.23
ORD-044893,2026-05-03,B,96.75
ORD-039409,2026-05-15,B,78.54
ORD-005682,2026-05-07,A,147.06
ORD-014566,2026-05-13,A,100.72
ORD-019949,2026-05-05,A,134.23
ORD-006029,2026-05-08,A,124.14
ORD-033000,2026-05-25,B,76.01
ORD-033645,2026-05-27,B,122.66
ORD-036220,2026-05-14,B,81.38
ORD-026563,2026-05-13,B,95.4
ORD-011771,2026-05-11,A,83.28
ORD-036150,2026-05-21,B,58.99
ORD-001395,2026-05-10,A,132.07
ORD-005124,2026-05-30,A,132.51
ORD-003602,2026-05-21,A,106.42
ORD-036596,2026-05-11,B,73.87
ORD-005150,2026-05-27,A,132.56
ORD-019488,2026-05-29,A,132.4
ORD-034784,2026-05-02,B,79.27
ORD-024601,2026-05-25,B,92.27
ORD-043855,2026-05-19,B,71.7
ORD-022607,2026-05-04,B,107.66
ORD-034924,2026-05-20,B,99.4
ORD-032531,2026-05-12,B,96.72
ORD-006000,2026-05-26,A,122.52
ORD-037436,2026-05-16,B,88.17
ORD-016673,2026-05-12,A,112.93
ORD-041839,2026-05-17,B,111.67
ORD-000773,2026-05-26,A,121.12
ORD-011519,2026-05-08,A,140.24
ORD-011097,2026-05-27,A,144.76
ORD-044324,2026-05-06,B,95.42
ORD-017493,2026-05-13,A,82.37
ORD-033648,2026-05-26,B,111.92
ORD-021791,2026-05-21,A,106.13
ORD-029043,2026-05-25,B,117.58
ORD-003475,2026-05-08,A,105.71
ORD-028907,2026-05-21,B,94.47
ORD-037566,2026-05-23,B,104.55
ORD-031325,2026-05-26,B,119.96
ORD-000685,2026-05-22,A,120.74
ORD-042557,2026-05-20,B,100.58
ORD-038569,2026-05-14,B,69.17
ORD-033931,2026-05-23,B,86.81
ORD-016268,2026-05-26,A,130.08
ORD-014876,2026-05-19,A,145.3
ORD-010774,2026-05-26,A,140.95
ORD-009066,2026-05-15,A,115.61
ORD-033869,2026-05-12,B,93.71
ORD-039280,2026-05-11,B,47.23
ORD-015390,2026-05-21,A,111.72
ORD-025919,2026-05-28,B,143.52
ORD-023367,2026-05-13,B,94.57
ORD-004035,2026-05-24,A,120.7
ORD-028876,2026-05-21,B,109.89
ORD-021451,2026-05-14,A,143.23
ORD-043041,2026-05-12,B,83.44
ORD-010362,2026-05-13,A,135.71
ORD-032464,2026-05-26,B,90.97
ORD-041140,2026-05-28,B,106.21
ORD-011949,2026-05-30,A,116.65
ORD-016527,2026-05-21,A,107.74
ORD-031565,2026-05-17,B,90.58
ORD-026938,2026-05-21,B,90.66
ORD-039286,2026-05-13,B,99.93
ORD-026792,2026-05-14,B,110.43
ORD-025688,2026-05-07,B,97.87
ORD-015672,2026-05-14,A,104.71
ORD-007776,2026-05-04,A,105.62
ORD-019095,2026-05-12,A,114.64
ORD-028266,2026-05-10,B,106.78
ORD-027251,2026-05-13,B,106.75
ORD-018191,2026-05-08,A,133.77
ORD-004012,2026-05-01,A,97.86
ORD-002836,2026-05-07,A,123.38
ORD-036255,2026-05-16,B,109.67
ORD-042226,2026-05-02,B,41.26
ORD-029921,2026-05-30,B,83.76
ORD-036786,2026-05-22,B,105.0
ORD-027345,2026-05-18,B,131.97
ORD-042470,2026-05-24,B,106.51
ORD-012579,2026-05-25,A,96.06
ORD-028524,2026-05-06,B,77.67
ORD-004227,2026-05-16,A,125.73
ORD-012760,2026-05-03,A,125.33
ORD-021962,2026-05-24,A,141.05
ORD-007824,2026-05-13,A,137.41
ORD-028226,2026-05-26,B,127.52
ORD-020752,2026-05-21,A,137.94
ORD-007920,2026-05-06,A,114.74
ORD-019937,2026-05-02,A,119.5
ORD-014481,2026-05-25,A,120.65
ORD-041241,2026-05-03,B,113.71
ORD-034203,2026-05-13,B,92.91
ORD-018593,2026-05-27,A,107.49
ORD-033006,2026-05-25,B,116.15
ORD-035304,2026-05-30,B,81.13
ORD-009265,2026-05-01,A,127.53
ORD-032444,2026-05-06,B,80.91
ORD-011165,2026-05-05,A,126.88
ORD-027056,2026-05-29,B,86.21
ORD-002452,2026-05-07,A,112.3
ORD-016135,2026-05-17,A,116.93
ORD-015544,2026-05-18,A,138.61
ORD-002305,2026-05-15,A,111.48
ORD-036061,2026-05-12,B,137.24
ORD-005249,2026-05-09,A,139.1
ORD-022411,2026-05-05,A,118.72
ORD-032066,2026-05-13,B,127.72
ORD-034572,2026-05-11,B,98.1
ORD-002453,2026-05-07,A,135.38
ORD-028082,2026-05-19,B,85.62
ORD-041844,2026-05-28,B,93.24
ORD-044255,2026-05-11,B,52.57
ORD-026906,2026-05-10,B,95.94
ORD-040017,2026-05-11,B,61.18
ORD-011565,2026-05-22,A,117.71
ORD-027598,2026-05-01,B,89.98
ORD-017469,2026-05-20,A,92.71
ORD-008492,2026-05-15,A,127.2
ORD-027665,2026-05-17,B,93.77
ORD-031101,2026-05-02,B,110.13
ORD-038225,2026-05-11,B,104.27
ORD-005047,2026-05-21,A,135.55
ORD-020548,2026-05-21,A,115.43
ORD-016321,2026-05-04,A,110.17
ORD-028361,2026-05-26,B,105.43
ORD-010571,2026-05-04,A,126.43
ORD-016941,2026-05-21,A,131.71
ORD-001645,2026-05-24,A,117.68
ORD-018381,2026-05-18,A,125.39
ORD-011635,2026-05-11,A,106.32
ORD-019509,2026-05-16,A,126.74
ORD-022892,2026-05-24,B,88.83
ORD-013020,2026-05-25,A,95.47
ORD-035286,2026-05-26,B,112.29
ORD-000664,2026-05-21,A,117.09
ORD-010252,2026-05-03,A,108.31
ORD-011080,2026-05-25,A,107.77
ORD-017701,2026-05-01,A,145.5
ORD-023265,2026-05-14,B,79.25
ORD-011987,2026-05-07,A,124.43
ORD-012848,2026-05-01,A,105.93
ORD-033914,2026-05-29,B,112.95
ORD-021666,2026-05-28,A,119.27
ORD-026119,2026-05-03,B,93.26
ORD-041099,2026-05-17,B,126.26
ORD-009640,2026-05-04,A,136.69
ORD-027179,2026-05-16,B,81.02
ORD-034781,2026-05-09,B,116.22
ORD-020416,2026-05-29,A,105.55
ORD-014452,2026-05-01,A,121.31
ORD-004735,2026-05-04,A,125.93
ORD-037582,2026-05-14,B,68.2
ORD-019384,2026-05-04,A,143.53
ORD-030314,2026-05-08,B,82.29
ORD-022120,2026-05-21,A,132.04
ORD-018594,2026-05-20,A,121.43
ORD-036774,2026-05-02,B,91.0
ORD-027602,2026-05-07,B,140.6
ORD-016899,2026-05-21,A,108.67
ORD-031823,2026-05-02,B,97.12
ORD-043264,2026-05-20,B,105.89
ORD-027344,2026-05-13,B,96.65
ORD-005997,2026-05-11,A,102.75
ORD-005589,2026-05-14,A,106.26
ORD-043272,2026-05-06,B,111.97
ORD-044224,2026-05-12,B,93.84
ORD-026157,2026-05-19,B,107.51
ORD-001831,2026-05-09,A,100.59
ORD-041898,2026-05-21,B,60.4
ORD-035541,2026-05-18,B,115.25
ORD-003430,2026-05-17,A,142.66
ORD-044135,2026-05-01,B,105.33
ORD-017443,2026-05-02,A,108.11
ORD-004302,2026-05-09,A,120.27
ORD-019766,2026-05-28,A,149.54
ORD-043538,2026-05-26,B,65.1
ORD-043094,2026-05-14,B,76.91
ORD-031725,2026-05-08,B,74.2
ORD-007515,2026-05-20,A,117.67
ORD-014215,2026-05-13,A,125.73
ORD-028380,2026-05-25,B,134.0
ORD-027193,2026-05-28,B,134.16
ORD-040923,2026-05-20,B,116.82
ORD-004696,2026-05-16,A,143.3
ORD-013653,2026-05-16,A,141.0
ORD-035448,2026-05-26,B,84.29
ORD-033904,2026-05-26,B,45.93
ORD-025225,2026-05-27,B,91.52
ORD-041367,2026-05-09,B,123.4
ORD-011850,2026-05-07,A,124.21
ORD-008614,2026-05-22,A,118.35
ORD-036923,2026-05-15,B,87.57
ORD-021571,2026-05-02,A,127.73
ORD-024222,2026-05-18,B,97.46
ORD-036334,2026-05-17,B,100.78
ORD-020077,2026-05-04,A,125.96
ORD-028142,2026-05-14,B,91.66
ORD-022092,2026-05-22,A,109.07
ORD-041715,2026-05-14,B,63.7
ORD-022374,2026-05-17,A,103.73
ORD-022371,2026-05-13,A,120.48
ORD-000095,2026-05-12,A,125.78
ORD-037757,2026-05-16,B,90.77
ORD-029421,2026-05-07,B,91.68
ORD-021284,2026-05-13,A,133.98
ORD-041964,2026-05-24,B,68.02
ORD-011079,2026-05-02,A,129.55
ORD-006448,2026-05-07,A,92.49
ORD-020519,2026-05-17,A,140.09
ORD-000498,2026-05-25,A,100.74
ORD-007724,2026-05-19,A,116.4
ORD-025598,2026-05-27,B,73.23
ORD-004752,2026-05-29,A,150.31
ORD-009429,2026-05-21,A,134.1
ORD-014997,2026-05-26,A,126.46
ORD-001902,2026-05-14,A,139.85
ORD-032362,2026-05-13,B,91.98
ORD-010647,2026-05-26,A,121.26
ORD-020240,2026-05-20,A,118.96
ORD-027823,2026-05-13,B,77.88
ORD-037063,2026-05-06,B,101.03
ORD-023510,2026-05-14,B,82.93
ORD-018053,2026-05-13,A,148.17
ORD-025429,2026-05-27,B,124.17
ORD-010901,2026-05-30,A,133.21
ORD-044220,2026-05-18,B,111.81
ORD-033996,2026-05-01,B,90.82
ORD-040011,2026-05-14,B,77.63
ORD-040229,2026-05-16,B,100.85
ORD-039695,2026-05-26,B,113.83
ORD-028277,2026-05-25,B,99.19
ORD-033441,2026-05-25,B,97.06
ORD-025884,2026-05-21,B,116.14
ORD-037963,2026-05-05,B,71.48
ORD-030811,2026-05-21,B,117.57
ORD-026590,2026-05-06,B,74.7
ORD-024064,2026-05-01,B,99.43
ORD-002806,2026-05-20,A,120.6
ORD-024775,2026-05-01,B,110.99
ORD-002672,2026-05-16,A,126.65
ORD-003642,2026-05-04,A,134.64
ORD-040191,2026-05-19,B,90.97
ORD-014317,2026-05-27,A,125.96
ORD-006789,2026-05-22,A,110.09
ORD-041576,2026-05-18,B,129.2
ORD-009162,2026-05-04,A,125.81
ORD-041608,2026-05-04,B,130.42
ORD-035868,2026-05-23,B,111.3
ORD-036808,2026-05-03,B,78.29
ORD-012756,2026-05-06,A,120.76
ORD-027375,2026-05-27,B,82.27
ORD-027628,2026-05-06,B,87.04
ORD-001321,2026-05-18,A,116.98
ORD-038228,2026-05-14,B,89.13
